,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd
52,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,3,2181.1987
53,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,3,2189.2827
54,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,3,2081.543
55,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,4,1457.0793
56,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,4,1911.6287
57,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,4,2108.9614
58,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,4,2207.125
59,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,4,2073.5212
60,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,1,1353.4114
61,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,1,1803.7435
62,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,1,2082.0078
63,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,1,2184.0244
64,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,1,1987.2887
65,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,2,1341.078
66,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,2,1706.3555
67,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,2,1983.2755
68,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,2,2199.5464
69,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,2,1997.8809
70,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,3,1283.1365
71,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,3,1791.0865
72,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,3,1986.6375
73,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,3,2218.5635
74,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,3,2106.2583
75,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,4,1292.1942
76,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,4,1768.329
77,"tensor(1.2118, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,4,1922.1272
78,"tensor(1.2118, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,4,2155.751
79,"tensor(1.2118, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,4,2073.3525
80,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,1,1099.7231
81,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,1,1618.6847
82,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,1,2158.4395
83,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,1,2258.8691
84,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,1,2239.893
85,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,2,1139.6879
86,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,2,1557.6584
87,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,2,1877.5769
88,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,2,2248.7737
89,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,2,2097.7632
