,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd,label
0,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,1,0.0009692231500061828,0
1,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,1,0.0010554711294957324,1
2,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,1,0.001205376410175955,2
3,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,1,0.0013751850039915563,3
4,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,1,0.0016912710045251956,4
5,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,2,0.0011417973330146193,5
6,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,2,0.001205357233702872,6
7,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,2,0.0012816165582542963,7
8,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,2,0.0015294617840235034,8
9,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,2,0.0017759298438803986,9
10,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,3,0.001050658420654188,10
11,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,3,0.0012436434985023254,11
12,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,3,0.001323678754898163,12
13,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,3,0.0015068626114507662,13
14,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,3,0.0021400456596747247,14
15,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,4,0.0012355271297178477,15
16,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,4,0.001233944516867579,16
17,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,4,0.001345273120657563,17
18,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,4,0.0014950142915359076,18
19,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,4,0.002130590680396,19
20,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,1,0.0011065272424460437,20
21,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,1,0.0011560024905675828,21
22,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,1,0.0012587385168278571,22
23,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,1,0.0014260066612894525,23
24,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,1,0.0016345589827748471,24
25,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,2,0.0011869319418836496,25
26,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,2,0.0012666084095979933,26
27,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,2,0.001202536255691375,27
28,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,2,0.0014691703101999687,28
29,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,2,0.0018875436413453971,29
30,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,3,0.001269993604538425,30
31,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,3,0.001220536957903546,31
32,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,3,0.0012753119610391227,32
33,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,3,0.0013993731981243908,33
34,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,3,0.0018976797630608378,34
35,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,4,0.0012273462688493567,35
36,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,4,0.0012752147781959003,36
37,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,4,0.0013486810557359515,37
38,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,4,0.0013263775001624758,38
39,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,4,0.002290563233353509,39
40,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,1,0.0012967383883875205,40
41,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,1,0.0013290427980635795,41
42,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,1,0.0015297145949362562,42
43,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,1,0.0018688411906539575,43
44,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,1,0.0018125616099287575,44
45,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,2,0.0014065256011917132,45
46,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,2,0.0014892241790264837,46
47,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,2,0.0015672416845606205,47
48,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,2,0.0019486265239483259,48
49,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,2,0.002115844893801509,49
50,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,3,0.0015225765663540343,50
51,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,3,0.0015441496765745185,51
52,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,3,0.00169726243754309,52
53,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,3,0.0022140214073839114,53
54,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,3,0.0020515077339069467,54
55,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,4,0.001442176672982541,55
56,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,4,0.0016289483450129313,56
57,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,4,0.0015920936183054287,57
58,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,4,0.0017354725920037256,58
59,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,4,0.002803144246190806,59
60,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,1,0.0015946207024774683,60
61,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,1,0.001727183691361633,61
62,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,1,0.0020170209649252226,62
63,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,1,0.0023980433400108848,63
64,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,1,0.0021388733944858723,64
65,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,2,0.001733848422882522,65
66,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,2,0.0018520241316558293,66
67,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,2,0.002143579037687927,67
68,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,2,0.0024690583460101508,68
69,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,2,0.0025073517907771847,69
70,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,3,0.0017653065836409024,70
71,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,3,0.0019126883397598288,71
72,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,3,0.0022286048109042885,72
73,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,3,0.002639086963424346,73
74,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,3,0.002346187360984067,74
75,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,4,0.0017892649516069257,75
