,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd,label
76,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,4,0.0018629875354757158,76
77,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,4,0.0022611073964746396,77
78,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,4,0.002216081124580117,78
79,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,4,0.002762439622825052,79
80,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,1,0.0031409336682962745,80
81,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,1,0.0031201940967772682,81
82,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,1,0.003434299949068881,82
83,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,1,0.0037572326899442433,83
84,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,1,0.0025571720606294927,84
85,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,2,0.0027981135778926986,85
86,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,2,0.0028864500741526637,86
87,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,2,0.003884872096062343,87
88,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,2,0.004868219377715286,88
89,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,2,0.00271019648308911,89
90,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,3,0.0027660153887638303,90
91,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,3,0.00302098621511555,91
92,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,3,0.004316264157024893,92
93,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,3,0.0049421079525183206,93
94,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,3,0.002894574530784703,94
95,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",1,4,0.0027644683989124404,95
96,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",1,4,0.002924417576885014,96
97,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",1,4,0.004345564148325735,97
98,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",1,4,0.004786443083002205,98
99,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",1,4,0.003203067193766517,99
100,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,1,0.0010493404537116197,100
101,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,1,0.0012528971713001002,101
102,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,1,0.001300822178708784,102
103,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,1,0.0014419692454820266,103
104,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,1,0.0017316741590826384,104
105,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,2,0.001169782628906716,105
106,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,2,0.0013143217633360127,106
107,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,2,0.0013970946315366214,107
108,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,2,0.0015765428152041214,108
109,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,2,0.0017968418732621436,109
110,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,3,0.0012286839314129758,110
111,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,3,0.0013110128481676649,111
112,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,3,0.0014805700932356385,112
113,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,3,0.0015610938951925047,113
114,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,3,0.00188017068750828,114
115,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,4,0.001221528857144166,115
116,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,4,0.0013461818529302318,116
117,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,4,0.001485871620281064,117
118,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,4,0.0015551558776028401,118
119,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,4,0.00206657181088824,119
120,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,1,0.0010880150380470407,120
121,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,1,0.0012190067580915374,121
122,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,1,0.0013270003972624435,122
123,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,1,0.0014272175068946787,123
124,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,1,0.0016590297756516308,124
125,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,2,0.0012297092122258556,125
126,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,2,0.0013371798960840533,126
127,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,2,0.00133760229591009,127
128,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,2,0.0013904799102637273,128
129,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,2,0.0017549394894801392,129
130,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,3,0.0012786644017374789,130
131,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,3,0.0013422634772006711,131
132,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,3,0.0013317391131430507,132
133,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,3,0.0014034679537855456,133
134,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,3,0.002135224096884854,134
135,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,4,0.0012764064606845711,135
136,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,4,0.001341005914807519,136
137,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,4,0.0013998959276279588,137
138,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,4,0.0013828026357125336,138
139,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,4,0.002350461758439214,139
140,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,1,0.0013851963081373212,140
141,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,1,0.001408666706799979,141
142,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,1,0.0016753412322488663,142
143,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,1,0.0018588342728004248,143
144,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,1,0.0021854799708624084,144
145,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,2,0.0014951455467523515,145
146,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,2,0.0015882898478898361,146
147,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,2,0.0016963846708352506,147
148,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,2,0.0019401247716216308,148
149,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,2,0.0022843712028640124,149
150,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,3,0.001557216320446364,150
151,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,3,0.0016971252817261848,151
152,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,3,0.0016709763980455403,152
153,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,3,0.0022071364817141063,153
154,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,3,0.0020220118841029824,154
155,"tensor(0.2731, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,4,0.0015784529914139207,155
156,"tensor(0.2731, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,4,0.0016751802182252001,156
157,"tensor(0.2731, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,4,0.0016869004896700492,157
158,"tensor(0.2731, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,4,0.0017400814806497085,158
159,"tensor(0.2731, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,4,0.00260014953474348,159
160,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,1,0.0016653667947092651,160
161,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,1,0.0017930740178473872,161
162,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,1,0.002273570002983661,162
163,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,1,0.0024213782954757637,163
164,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,1,0.0021098947364830145,164
165,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,2,0.0017856058868125323,165
166,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,2,0.0019852308493288964,166
167,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,2,0.0023442024696741504,167
168,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,2,0.002494770097030181,168
169,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,2,0.0023023556111195238,169
170,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,3,0.0018502973793969018,170
171,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,3,0.0021003340507552808,171
172,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,3,0.0023799606011689865,172
173,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,3,0.0027049522710867937,173
174,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,3,0.0024816285147125517,174
175,"tensor(0.4503, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,4,0.00187169290030296,175
176,"tensor(0.4503, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,4,0.0018905153991246627,176
177,"tensor(0.4503, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,4,0.002383863080649461,177
178,"tensor(0.4503, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,4,0.0024018188723497636,178
179,"tensor(0.4503, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,4,0.0029745121522559963,179
180,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,1,0.003381063947268427,180
181,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,1,0.003185642597590162,181
182,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,1,0.0037049688453235814,182
183,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,1,0.004714926515865638,183
184,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,1,0.002726473031007641,184
185,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,2,0.0029518524309643853,185
186,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,2,0.003250390782988022,186
187,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,2,0.004193573569732595,187
188,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,2,0.004685021127037881,188
189,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,2,0.002734951731981133,189
190,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,3,0.002897165324169138,190
191,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,3,0.0032532809191775387,191
192,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,3,0.004998875422956557,192
193,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,3,0.005311165076027156,193
194,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,3,0.002849751881702351,194
195,"tensor(1.2239, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",2,4,0.0028692661473173914,195
196,"tensor(1.2239, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",2,4,0.003356950000828111,196
197,"tensor(1.2239, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",2,4,0.004757481235236848,197
198,"tensor(1.2239, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",2,4,0.005157059287719612,198
199,"tensor(1.2239, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",2,4,0.0030213026761351913,199
200,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,1,0.0010331220147790036,200
201,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,1,0.001323527226301184,201
202,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",3,1,0.0013963599153763405,202
203,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",3,1,0.001521895071030132,203
204,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",3,1,0.0017521833588126905,204
205,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,2,0.0011511523031517597,205
206,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,2,0.0014054876135508668,206
207,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",3,2,0.0014398455942402442,207
208,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",3,2,0.0015381990360244444,208
209,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",3,2,0.0018561379445195276,209
210,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,3,0.0011970246214495304,210
211,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,3,0.001464241997393029,211
212,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",3,3,0.0014147572045510315,212
213,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",3,3,0.0015453516315732854,213
214,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",3,3,0.0019744603316225115,214
215,"tensor(0.1005, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,4,0.001289283706645739,215
216,"tensor(0.1005, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,4,0.0015061374442368516,216
217,"tensor(0.1005, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",3,4,0.0014587650446709621,217
218,"tensor(0.1005, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",3,4,0.0015561945212829095,218
219,"tensor(0.1005, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",3,4,0.0021278747859269,219
220,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,1,0.001137211564719274,220
221,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,1,0.0012930118083558356,221
222,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",3,1,0.0013524071388714247,222
223,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",3,1,0.001403823466018441,223
224,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",3,1,0.0017458839819579994,224
225,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,2,0.0012079263516548665,225
226,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,2,0.0014091256239893192,226
227,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",3,2,0.001346786432896709,227
228,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",3,2,0.0014772621436192849,228
229,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",3,2,0.0017618634706619545,229
230,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,3,0.001273885371064435,230
231,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,3,0.0013254320507317414,231
232,"tensor(0.1656, dtype=torch.float64)","tensor(0.2731, dtype=torch.float64)",3,3,0.0014008423793338883,232
233,"tensor(0.1656, dtype=torch.float64)","tensor(0.4503, dtype=torch.float64)",3,3,0.0014113766390172703,233
234,"tensor(0.1656, dtype=torch.float64)","tensor(1.2239, dtype=torch.float64)",3,3,0.00202079117906611,234
235,"tensor(0.1656, dtype=torch.float64)","tensor(0.1005, dtype=torch.float64)",3,4,0.0013417772579123154,235
236,"tensor(0.1656, dtype=torch.float64)","tensor(0.1656, dtype=torch.float64)",3,4,0.0013902356493315296,236
