,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd,mmd_ratio,label
41,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,1,0.0008361883126918046,57.522408828226055,41
42,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,1,0.0010145548579447439,104.80719786062767,42
43,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,1,0.00027733758239223416,393.1262205597531,43
44,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,1,0.0007450575833711781,38.536876139634316,44
45,"tensor(0.4363, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,2,0.0018181111750288914,4.828099715808598,45
46,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,2,0.0009752027517307763,38.367306173961225,46
47,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,2,0.0008116481967957445,133.00827203137385,47
48,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,2,0.0007764027630261516,163.2185216080261,48
49,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,2,0.0009074239741498902,31.813063816229853,49
50,"tensor(0.4363, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,3,0.0018819670171262223,3.94794245274847,50
51,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,3,0.0009442244033630448,35.50422398476293,51
52,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,3,0.0011974594173058128,88.77290092735602,52
53,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,3,0.000813259492344176,165.14551766840202,53
54,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,3,0.00034392798391147394,83.69246178606876,54
55,"tensor(0.4363, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,4,0.0018403835395615666,3.740698394133767,55
56,"tensor(0.4363, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,4,0.0009453118678914227,33.513469857027616,56
57,"tensor(0.4363, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,4,0.0008565790267397455,122.46701156163996,57
58,"tensor(0.4363, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,4,0.0007600302955465543,182.22348881422155,58
59,"tensor(0.4363, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,4,-5.459517783190648e-06,-5257.607147575717,59
60,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,1,0.0034829696604193015,4.229531745116117,60
61,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,1,0.002596498751793047,18.52477916533821,61
62,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,1,0.0010445316110956615,101.79936213279187,62
63,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,1,0.000669866871705338,162.76170712469244,63
64,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,1,0.0001292543907240873,222.1370712934681,64
65,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,2,0.0030642818999604988,2.8646261453877933,65
66,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,2,0.002969000203532017,12.602189286761597,66
67,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,2,0.0014546796004382134,74.21285355253582,67
68,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,2,0.0009434116964865957,134.3245071324125,68
69,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,2,0.0016508941102387764,17.486243738450348,69
70,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,3,0.0027880999509906773,2.6648605187002006,70
71,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,3,0.0029910381238633654,11.208133537789738,71
72,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,3,0.0017718726265433249,59.994124083511906,72
73,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,3,0.0006021232465167059,223.05426777471956,73
74,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,3,0.0010688071828623968,26.931124820459324,74
75,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,4,0.002663064320506831,2.5851120823540437,75
76,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,4,0.0030110456473183903,10.521488047942478,76
77,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,4,0.001733899565167507,60.501009215640686,77
78,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,4,0.0006593165890266817,210.05898283774613,78
79,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,4,-0.0001568783549472652,-182.96979037591743,79
80,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,1,0.007326040754813964,2.0108174714070124,80
81,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,1,0.0070136349433495004,6.858008203813301,81
82,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,1,0.010185573414195598,10.439535155564274,82
83,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,1,0.005494187064279288,19.844369023015823,83
84,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,1,0.0006640621365596733,43.237206620483555,84
85,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,2,0.0054843184073986705,1.6005675446603091,85
86,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,2,0.007805182756557068,4.793725364843175,86
87,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,2,0.012451197010996617,8.670324954125952,87
88,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,2,0.006257006020817579,20.25302688408739,88
